game number,percentage won,percentage lost,percentage draw
1,40,44,16
2,46,40,14
3,42,48,10
4,42,48,10
5,34,50,16
6,46,36,18
7,44,40,16
8,40,42,18
9,30,58,12
10,52,38,10
11,38,52,10
12,44,46,10
13,38,44,18
14,50,34,16
15,44,38,18
16,44,42,14
17,52,40,8
18,36,44,20
19,44,38,18
20,36,52,12
21,52,36,12
22,56,30,14
23,48,28,24
24,60,28,12
25,60,26,14
26,52,42,6
27,52,34,14
28,62,20,18
29,52,36,12
30,42,44,14
31,46,40,14
32,50,24,26
33,48,32,20
34,50,34,16
35,52,30,18
36,60,26,14
37,58,30,12
38,52,34,14
39,58,18,24
40,58,30,12
41,60,20,20
42,56,26,18
43,50,32,18
44,62,30,8
45,38,42,20
46,62,18,20
47,44,36,20
48,46,36,18
49,46,30,24
50,48,24,28
51,58,20,22
52,52,26,22
53,42,32,26
54,56,26,18
55,62,20,18
56,50,18,32
57,50,26,24
58,52,24,24
59,58,22,20
60,46,20,34
61,54,34,12
62,52,20,28
63,56,26,18
64,56,26,18
65,46,28,26
66,52,22,26
67,56,22,22
68,50,26,24
69,56,12,32
70,50,30,20
71,46,24,30
72,42,28,30
73,54,16,30
74,56,12,32
75,54,18,28
76,56,22,22
77,48,28,24
78,72,14,14
79,46,20,34
80,56,18,26
81,64,10,26
82,52,12,36
83,64,12,24
84,64,14,22
85,48,14,38
86,54,20,26
87,60,14,26
88,52,20,28
89,56,14,30
90,58,4,38
91,68,6,26
92,66,8,26
93,58,18,24
94,40,10,50
95,66,12,22
96,56,12,32
97,64,10,26
98,58,12,30
99,58,18,24
100,56,12,32
